ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300408.SZ,20250703,32.6,33.37,32.44,33.22,32.48,0.74,2.2783,197854.07,653211.012
300408.SZ,20250704,33.08,33.36,32.89,32.97,33.22,-0.25,-0.7526,136198.92,451321.946
300408.SZ,20250707,32.9,33.1,31.66,31.73,32.97,-1.24,-3.761,270399.75,863818.386
300408.SZ,20250708,31.73,32.63,31.65,32.21,31.73,0.48,1.5128,199230.98,641453.74
300408.SZ,20250709,32.21,32.73,31.81,31.89,32.21,-0.32,-0.9935,157408.99,506102.93
300408.SZ,20250710,31.84,31.99,31.3,31.69,31.89,-0.2,-0.6272,157398.88,497091.14
300408.SZ,20250711,31.65,32.1,31.51,31.87,31.69,0.18,0.568,147994.06,471696.465
300408.SZ,20250714,31.84,32.28,31.75,31.95,31.87,0.08,0.251,123975.31,396679.308
300408.SZ,20250715,31.9,32.48,31.66,31.83,31.95,-0.12,-0.3756,141424.88,452159.633
300408.SZ,20250716,31.88,32.59,31.62,32.14,31.83,0.31,0.9739,179585.0,578035.718
300408.SZ,20250717,32.1,33.11,31.98,33.11,32.14,0.97,3.018,210813.07,691027.925
300408.SZ,20250718,33.09,33.18,32.34,32.45,33.11,-0.66,-1.9934,188510.08,614004.917
300408.SZ,20250721,32.75,34.4,32.71,33.62,32.45,1.17,3.6055,301657.4,1017906.11
300408.SZ,20250722,33.53,34.1,33.36,33.44,33.62,-0.18,-0.5354,176042.34,591753.36
300408.SZ,20250723,33.4,33.66,32.93,33.44,33.44,0.0,0.0,178874.43,596810.402
300408.SZ,20250724,33.48,33.98,33.22,33.79,33.44,0.35,1.0467,188268.89,633865.666
300408.SZ,20250725,33.74,34.15,33.5,33.76,33.79,-0.03,-0.0888,147038.13,496429.846
300408.SZ,20250728,33.87,33.94,33.34,33.65,33.76,-0.11,-0.3258,106918.76,359438.983
300408.SZ,20250729,33.65,34.75,33.46,34.22,33.65,0.57,1.6939,253020.0,862420.741
300408.SZ,20250730,34.23,34.59,33.74,33.9,34.22,-0.32,-0.9351,192902.43,659621.701
300408.SZ,20250731,33.89,34.29,32.94,33.09,33.9,-0.81,-2.3894,176252.13,590934.453
300408.SZ,20250801,33.1,33.95,33.04,33.63,33.09,0.54,1.6319,176404.0,591392.091
300408.SZ,20250804,33.47,33.67,33.17,33.56,33.63,-0.07,-0.2081,117628.73,392767.954
300408.SZ,20250805,33.69,34.58,33.58,34.57,33.56,1.01,3.0095,208473.96,714788.472
300408.SZ,20250806,34.5,35.23,34.39,34.57,34.57,0.0,0.0,144041.65,500329.697
300408.SZ,20250807,34.62,34.86,34.22,34.32,34.57,-0.25,-0.7232,106448.64,366274.989
300408.SZ,20250808,34.33,34.77,34.12,34.31,34.32,-0.01,-0.0291,104760.76,361130.801
300408.SZ,20250811,34.31,35.23,34.27,34.9,34.31,0.59,1.7196,164478.39,571599.185
300408.SZ,20250812,34.98,35.77,34.85,35.2,34.9,0.3,0.8596,124616.14,438269.751
